Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"16/12/25, 14:47:33",User_4283bbe3,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,Logs,Log report viewed,The user with id '261' viewed the log report for the course with id '83'.,web,123.243.46.2
"16/12/25, 14:47:16",User_4283bbe3,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '261' viewed the course with id '83'.,web,123.243.46.2
"16/12/25, 11:59:45",User_f52490d5,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course backup created,The user with id '163' created a backup of the course with the id '83'.,cli,
"15/12/25, 23:26:52",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,101.115.82.227
"15/12/25, 23:26:51",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,101.115.82.227
"15/12/25, 23:26:21",User_bc909ddc,User_bc909ddc,Subject: 202503 HVEC702 User Experience Design,User report,Grade user report viewed,The user with id '124' viewed the user report in the gradebook.,web,101.115.82.227
"15/12/25, 23:24:52",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,101.115.82.227
"15/12/25, 23:23:38",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,101.115.82.227
"15/12/25, 23:23:32",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,101.115.82.227
"15/12/25, 16:29:43",User_15e2aede,User_15e2aede,Subject: 202503 HVEC702 User Experience Design,System,Course user report viewed,The user with id '173' viewed the user report for the course with id '83' for user with id '173'.,web,120.17.161.135
"15/12/25, 16:29:04",User_15e2aede,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '173' has viewed the submission status page for the assignment with course module id '2889'.,web,120.17.161.135
"15/12/25, 16:29:03",User_15e2aede,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '173' viewed the 'assign' activity with course module id '2889'.,web,120.17.161.135
"15/12/25, 16:28:58",User_15e2aede,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '173' viewed the section number '12' of the course with id '83'.,web,120.17.161.135
"15/12/25, 16:28:19",User_15e2aede,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '173' viewed the course with id '83'.,web,120.17.161.135
"14/12/25, 12:09:24",User_35281072,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '244' has viewed the submission status page for the assignment with course module id '2889'.,web,120.18.66.105
"14/12/25, 12:09:23",User_35281072,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '244' viewed the 'assign' activity with course module id '2889'.,web,120.18.66.105
"14/12/25, 12:09:18",User_35281072,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '244' viewed the section number '12' of the course with id '83'.,web,120.18.66.105
"14/12/25, 12:09:13",User_35281072,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '244' viewed the course with id '83'.,web,120.18.66.105
"14/12/25, 00:10:21",User_bd08e768,User_bd08e768,Subject: 202503 HVEC702 User Experience Design,User report,Grade user report viewed,The user with id '165' viewed the user report in the gradebook.,web,103.190.19.54
"14/12/25, 00:10:17",User_bd08e768,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '165' viewed the course with id '83'.,web,103.190.19.54
"13/12/25, 22:19:10",User_3406e1fb,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '240' has viewed the submission status page for the assignment with course module id '2889'.,web,220.233.13.230
"13/12/25, 22:19:09",User_3406e1fb,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '240' viewed the 'assign' activity with course module id '2889'.,web,220.233.13.230
"13/12/25, 22:19:02",User_3406e1fb,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '240' viewed the section number '12' of the course with id '83'.,web,220.233.13.230
"13/12/25, 22:17:19",User_3406e1fb,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '240' viewed the course with id '83'.,web,220.233.13.230
"13/12/25, 08:43:06",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the section number '12' of the course with id '83'.,web,49.179.35.119
"13/12/25, 08:43:05",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the course with id '83'.,web,49.179.35.119
"13/12/25, 08:43:03",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the section number '12' of the course with id '83'.,web,49.179.35.119
"13/12/25, 08:43:02",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the course with id '83'.,web,49.179.35.119
"13/12/25, 08:42:25",User_88a0bf43,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '356' has viewed the submission status page for the assignment with course module id '2889'.,web,49.179.35.119
"13/12/25, 08:42:25",User_88a0bf43,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '356' viewed the 'assign' activity with course module id '2889'.,web,49.179.35.119
"13/12/25, 08:42:16",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the section number '12' of the course with id '83'.,web,49.179.35.119
"13/12/25, 08:42:12",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the course with id '83'.,web,49.179.35.119
"13/12/25, 08:41:58",User_88a0bf43,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,The status of the submission has been viewed.,The user with id '356' has viewed the submission status page for the assignment with course module id '2887'.,web,49.179.35.119
"13/12/25, 08:41:58",User_88a0bf43,User_88a0bf43,Assignment: Assessment 2 Submission,Assignment,Feedback viewed,The user with id '356' viewed the feedback for the user with id '356' for the assignment with course module id '2887'.,web,49.179.35.119
"13/12/25, 08:41:58",User_88a0bf43,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,Course module viewed,The user with id '356' viewed the 'assign' activity with course module id '2887'.,web,49.179.35.119
"13/12/25, 08:41:18",User_88a0bf43,User_88a0bf43,Subject: 202503 HVEC702 User Experience Design,User report,Grade user report viewed,The user with id '356' viewed the user report in the gradebook.,web,49.179.35.119
"13/12/25, 08:41:13",User_88a0bf43,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '356' viewed the course with id '83'.,web,49.179.35.119
"12/12/25, 20:47:08",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,120.18.105.164
"12/12/25, 20:47:07",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,120.18.105.164
"12/12/25, 20:46:58",User_bc909ddc,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,The status of the submission has been viewed.,The user with id '124' has viewed the submission status page for the assignment with course module id '2887'.,web,120.18.105.164
"12/12/25, 20:46:58",User_bc909ddc,User_bc909ddc,Assignment: Assessment 2 Submission,Assignment,Feedback viewed,The user with id '124' viewed the feedback for the user with id '124' for the assignment with course module id '2887'.,web,120.18.105.164
"12/12/25, 20:46:58",User_bc909ddc,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,Course module viewed,The user with id '124' viewed the 'assign' activity with course module id '2887'.,web,120.18.105.164
"12/12/25, 20:46:55",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,120.18.105.164
"12/12/25, 20:46:53",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,120.18.105.164
"12/12/25, 20:46:52",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,120.18.105.164
"12/12/25, 20:44:33",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,120.18.105.164
"12/12/25, 20:44:32",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,120.18.105.164
"12/12/25, 20:44:29",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,120.18.105.164
"12/12/25, 20:44:27",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,120.18.105.164
"12/12/25, 20:44:14",User_bc909ddc,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '124' has viewed the submission status page for the assignment with course module id '2889'.,web,120.18.105.164
"12/12/25, 20:44:14",User_bc909ddc,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '124' viewed the 'assign' activity with course module id '2889'.,web,120.18.105.164
"12/12/25, 20:44:09",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the section number '12' of the course with id '83'.,web,120.18.105.164
"12/12/25, 20:44:05",User_bc909ddc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '124' viewed the course with id '83'.,web,120.18.105.164
"12/12/25, 20:16:03",User_e21d36d4,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '167' has viewed the submission status page for the assignment with course module id '2889'.,web,49.179.100.203
"12/12/25, 20:16:02",User_e21d36d4,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '167' viewed the 'assign' activity with course module id '2889'.,web,49.179.100.203
"12/12/25, 20:15:58",User_e21d36d4,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '167' viewed the section number '12' of the course with id '83'.,web,49.179.100.203
"12/12/25, 20:15:53",User_e21d36d4,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '167' viewed the course with id '83'.,web,49.179.100.203
"12/12/25, 19:38:14",User_cb5599dc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '166' viewed the course with id '83'.,web,1.145.47.3
"12/12/25, 19:37:57",User_cb5599dc,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,The status of the submission has been viewed.,The user with id '166' has viewed the submission status page for the assignment with course module id '2887'.,web,1.145.47.3
"12/12/25, 19:37:57",User_cb5599dc,User_cb5599dc,Assignment: Assessment 2 Submission,Assignment,Feedback viewed,The user with id '166' viewed the feedback for the user with id '166' for the assignment with course module id '2887'.,web,1.145.47.3
"12/12/25, 19:37:57",User_cb5599dc,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,Course module viewed,The user with id '166' viewed the 'assign' activity with course module id '2887'.,web,1.145.47.3
"12/12/25, 19:37:46",User_cb5599dc,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '166' viewed the course with id '83'.,web,1.145.47.3
"12/12/25, 18:04:22",User_f38e017f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '283' viewed the section number '12' of the course with id '83'.,web,120.18.6.118
"12/12/25, 18:04:21",User_f38e017f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '283' viewed the course with id '83'.,web,120.18.6.118
"12/12/25, 18:04:08",User_f38e017f,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '283' has viewed the submission status page for the assignment with course module id '2889'.,web,120.18.6.118
"12/12/25, 18:04:08",User_f38e017f,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '283' viewed the 'assign' activity with course module id '2889'.,web,120.18.6.118
"12/12/25, 18:04:03",User_f38e017f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '283' viewed the section number '12' of the course with id '83'.,web,120.18.6.118
"12/12/25, 18:03:58",User_f38e017f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '283' viewed the course with id '83'.,web,120.18.6.118
"12/12/25, 17:54:16",User_15e2aede,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '173' has viewed the submission status page for the assignment with course module id '2889'.,web,120.17.187.163
"12/12/25, 17:54:16",User_15e2aede,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '173' viewed the 'assign' activity with course module id '2889'.,web,120.17.187.163
"12/12/25, 17:54:11",User_15e2aede,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '173' viewed the section number '12' of the course with id '83'.,web,120.17.187.163
"12/12/25, 17:54:10",User_15e2aede,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '173' viewed the course with id '83'.,web,120.17.187.163
"12/12/25, 17:52:11",User_15e2aede,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '173' has viewed the submission status page for the assignment with course module id '2889'.,web,120.17.187.163
"12/12/25, 17:52:11",User_15e2aede,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '173' viewed the 'assign' activity with course module id '2889'.,web,120.17.187.163
"12/12/25, 17:52:06",User_15e2aede,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '173' viewed the section number '12' of the course with id '83'.,web,120.17.187.163
